timestamp,AvgTicketPrice,Carrier,dayOfWeek,Dest,DestAirportID,DestCityName,DestRegion,DestWeather,DistanceKilometers,DistanceMiles,FlightDelayMin,FlightDelayType,FlightNum,FlightTimeHour,FlightTimeMin,Origin,OriginAirportID,OriginCityName,OriginCountry,OriginRegion,OriginWeather,DestCountry,FlightDelay,Cancelled
"Sep 17, 2023 @ 09:43:58.000",818.364,ES-Air,6,Washington Dulles International Airport,IAD,Washington,US-DC,Cloudy,"8,396.62","5,217.42",0,No Delay,JEG0OGH,8.231977252,493.919,Ministro Pistarini International Airport,EZE,Buenos Aires,AR,SE-BD,Rain,US,FALSE,FALSE
"Sep 17, 2023 @ 09:40:02.000",720.646,JetBeats,6,Ottawa Macdonald-Cartier International Airport,YOW,Ottawa,CA-ON,Sunny,"6,740.44","4,188.31",0,No Delay,VYY4AMY,5.349551898,320.973,Leonardo da Vinci___Fiumicino Airport,RM11,Rome,IT,IT-62,Clear,CA,FALSE,FALSE
"Sep 17, 2023 @ 09:37:30.000","1,145.20",ES-Air,6,Zurich Airport,ZRH,Zurich,CH-ZH,Hail,477.548,296.734,0,No Delay,O4RJTC2,0.723556845,43.413,Charles de Gaulle International Airport,CDG,Paris,FR,FR-J,Clear,CH,FALSE,FALSE
"Sep 17, 2023 @ 09:35:30.000",356.334,JetBeats,6,Pisa International Airport,PI05,Pisa,IT-52,Clear,276.276,171.67,135,Security Delay,R0OGQ7J,2.505810735,150.349,Ciampino___G. B. Pastine International Airport,RM12,Rome,IT,IT-62,Cloudy,IT,TRUE,FALSE
"Sep 17, 2023 @ 09:35:30.000",526.096,Logstash Airways,6,Chhatrapati Shivaji International Airport,BOM,Mumbai,SE-BD,Rain,"6,866.15","4,266.43",0,No Delay,6TZE5XC,6.357545664,381.453,Amsterdam Airport Schiphol,AMS,Amsterdam,NL,NL-NH,Cloudy,IN,FALSE,FALSE
"Sep 17, 2023 @ 09:30:48.000",852.924,JetBeats,6,Rajiv Gandhi International Airport,HYD,Hyderabad,SE-BD,Sunny,"7,087.89","4,404.21",0,No Delay,LXAC607,6.562862742,393.772,Malpensa International Airport,MI12,Milan,IT,IT-25,Rain,IN,FALSE,FALSE
"Sep 17, 2023 @ 09:15:27.000",404.062,Kibana Airlines,6,Verona Villafranca Airport,VR10,Verona,IT-34,Sunny,0,0,0,No Delay,QF4MPZO,0,0,Verona Villafranca Airport,VR10,Verona,IT,IT-34,Rain,IT,FALSE,FALSE
"Sep 17, 2023 @ 09:15:02.000",410.292,Kibana Airlines,6,Ukrainka Air Base,XHBU,Belogorsk,RU-AMU,Sunny,"5,606.83","3,483.92",0,No Delay,H285CAL,4.449861928,266.992,Sheremetyevo International Airport,SVO,Moscow,RU,RU-MOS,Rain,RU,FALSE,FALSE
"Sep 17, 2023 @ 08:58:40.000",626.743,JetBeats,6,Warsaw Chopin Airport,WAW,Warsaw,PL-MZ,Thunder & Lightning,"1,327.78",825.042,0,No Delay,VYYLVKH,2.011782029,120.707,Leonardo da Vinci___Fiumicino Airport,RM11,Rome,IT,IT-62,Cloudy,PL,FALSE,TRUE
"Sep 17, 2023 @ 08:56:31.000",903.862,ES-Air,6,Vienna International Airport,VIE,Vienna,AT-9,Rain,723.49,449.556,0,No Delay,EAWQTWA,1.096196819,65.772,Genoa Cristoforo Colombo Airport,GE01,Genova,IT,IT-42,Clear,AT,FALSE,FALSE
"Sep 17, 2023 @ 08:49:52.000","1,079.45",Logstash Airways,6,Orlando Sanford International Airport,SFB,Orlando,US-FL,Cloudy,"13,157.86","8,175.92",285,NAS Delay,3ONJ5MH,16.9332078,"1,015.99",OR Tambo International Airport,JNB,Johannesburg,ZA,SE-BD,Clear,US,TRUE,FALSE
"Sep 17, 2023 @ 08:39:36.000",925.658,Logstash Airways,6,Gimpo International Airport,GMP,Seoul,SE-BD,Hail,"10,772.02","6,693.42",0,No Delay,1M39JCS,11.22085013,673.251,Erie International Tom Ridge Field,ERI,Erie,US,US-PA,Clear,KR,FALSE,TRUE
"Sep 17, 2023 @ 08:23:52.000","1,111.94",Logstash Airways,6,Olenya Air Base,XLMO,Olenegorsk,RU-MUR,Heavy Fog,"2,729.44","1,695.99",0,No Delay,P7UAHH6,4.135508851,248.131,Charles de Gaulle International Airport,CDG,Paris,FR,FR-J,Hail,RU,FALSE,FALSE
"Sep 17, 2023 @ 08:16:13.000",908.922,Kibana Airlines,6,Shanghai Pudong International Airport,PVG,Shanghai,SE-BD,Rain,"17,142.00","10,651.54",0,No Delay,JDK1IXU,25.97272457,"1,558.36",Jorge Chavez International Airport,LIM,Lima,PE,SE-BD,Cloudy,CN,FALSE,FALSE
"Sep 17, 2023 @ 08:05:24.000",818.645,Logstash Airways,6,Zurich Airport,ZRH,Zurich,CH-ZH,Cloudy,"16,565.31","10,293.21",0,No Delay,30G120M,14.53097698,871.859,Sydney Kingsford Smith International Airport,SYD,Sydney,AU,SE-BD,Sunny,CH,FALSE,FALSE
"Sep 17, 2023 @ 08:03:24.000",638.101,Logstash Airways,6,Frankfurt am Main Airport,FRA,Frankfurt am Main,DE-HE,Hail,"7,336.69","4,558.81",0,No Delay,0K0Q6MB,6.11390782,366.834,Edmonton International Airport,CYEG,Edmonton,CA,CA-AB,Heavy Fog,DE,FALSE,FALSE
"Sep 17, 2023 @ 08:02:24.000",658.344,Logstash Airways,6,Warsaw Chopin Airport,WAW,Warsaw,PL-MZ,Thunder & Lightning,"1,081.27",671.869,0,No Delay,FWSZTYQ,1.126321138,67.579,Oslo Gardermoen Airport,OSL,Oslo,NO,NO-02,Heavy Fog,PL,FALSE,FALSE
"Sep 17, 2023 @ 08:00:00.000",586.281,ES-Air,6,Pisa International Airport,PI05,Pisa,IT-52,Cloudy,"6,496.17","4,036.54",150,Carrier Delay,J0ATPBS,11.52246405,691.348,Ottawa Macdonald-Cartier International Airport,YOW,Ottawa,CA,CA-ON,Rain,IT,TRUE,FALSE
"Sep 17, 2023 @ 07:52:11.000",597.517,JetBeats,5,San Diego International Airport,SAN,San Diego,US-CA,Rain,"9,695.35","6,024.41",0,No Delay,LLTVVVU,13.46576807,807.946,Munich Airport,MUC,Munich,DE,DE-BY,Heavy Fog,US,FALSE,FALSE
"Sep 17, 2023 @ 07:44:41.000",551.871,Logstash Airways,5,Mariscal Sucre International Airport,UIO,Quito,EC-P,Rain,"4,790.70","2,976.80",0,No Delay,GM8KNU0,5.703214494,342.193,Greater Rochester International Airport,ROC,Rochester,US,US-NY,Rain,EC,FALSE,FALSE
"Sep 17, 2023 @ 07:44:34.000",947.563,Logstash Airways,5,Copenhagen Kastrup Airport,CPH,Copenhagen,DK-84,Sunny,"15,343.14","9,533.78",0,No Delay,3QJ6H1V,19.67068816,"1,180.24",Adelaide International Airport,ADL,Adelaide,AU,SE-BD,Clear,DK,FALSE,FALSE
"Sep 17, 2023 @ 07:39:18.000",755.195,Logstash Airways,5,Mariscal Sucre International Airport,UIO,Quito,EC-P,Clear,"10,099.98","6,275.83",0,No Delay,M4J6E0T,12.94868731,776.921,Ciampino___G. B. Pastine International Airport,RM12,Rome,IT,IT-62,Cloudy,EC,FALSE,FALSE
"Sep 17, 2023 @ 07:38:41.000","1,042.81",JetBeats,5,Cincinnati Northern Kentucky International Airport,CVG,Cincinnati,US-KY,Damaging Wind,"11,790.40","7,326.22",0,No Delay,WS8B19G,9.825336024,589.52,Al Maktoum International Airport,DWC,Jebel Ali,AE,SE-BD,Sunny,US,FALSE,FALSE
"Sep 17, 2023 @ 07:36:57.000",845.66,JetBeats,5,Leonardo da Vinci - Fiumicino Airport,FCO,Rome,SE-BD,Clear,"9,742.77","6,053.88",0,No Delay,9HEELSC,9.021084094,541.265,Itami Airport,ITM,Osaka,JP,SE-BD,Clear,IT,FALSE,FALSE
"Sep 17, 2023 @ 07:35:58.000",928.596,Logstash Airways,5,Washington Dulles International Airport,IAD,Washington,US-DC,Hail,"7,014.00","4,358.30",0,No Delay,612ANJ1,7.306252127,438.375,Pisa International Airport,PI05,Pisa,IT,IT-52,Hail,US,FALSE,TRUE
"Sep 17, 2023 @ 07:35:37.000",460.067,Kibana Airlines,5,Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,CA-MB,Sunny,0,0,0,No Delay,TMBWRRG,0,0,Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,CA,CA-MB,Sunny,CA,FALSE,FALSE
"Sep 17, 2023 @ 07:29:57.000",425.952,Logstash Airways,5,Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,CA-MB,Rain,0,0,105,NAS Delay,45Q9PRO,1.75,105,Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,CA,CA-MB,Cloudy,CA,TRUE,FALSE
"Sep 17, 2023 @ 07:20:37.000",920.861,ES-Air,5,Verona Villafranca Airport,VR10,Verona,IT-34,Cloudy,"6,918.10","4,298.71",0,No Delay,QU02C5H,6.405649044,384.339,Rajiv Gandhi International Airport,HYD,Hyderabad,IN,SE-BD,Damaging Wind,IT,FALSE,FALSE
"Sep 17, 2023 @ 07:14:05.000","1,007.26",JetBeats,5,OR Tambo International Airport,JNB,Johannesburg,SE-BD,Hail,"9,082.68","5,643.72",75,Carrier Delay,C7KKP2R,9.21726606,553.036,London Luton Airport,LTN,London,GB,GB-ENG,Sunny,ZA,TRUE,FALSE
"Sep 17, 2023 @ 07:05:43.000","1,119.24",Kibana Airlines,5,Norfolk International Airport,ORF,Norfolk,US-VA,Rain,"11,429.63","7,102.04",0,No Delay,06ZKCF7,13.60670392,816.402,Gimpo International Airport,GMP,Seoul,KR,SE-BD,Rain,US,FALSE,FALSE
"Sep 17, 2023 @ 06:55:30.000","1,006.71",Kibana Airlines,5,London Luton Airport,LTN,London,GB-ENG,Thunder & Lightning,"9,514.95","5,912.31",225,Carrier Delay,1TH68Z5,12.09644386,725.787,Kansai International Airport,KIX,Osaka,JP,SE-BD,Hail,GB,TRUE,FALSE
"Sep 17, 2023 @ 06:53:24.000",371.545,Logstash Airways,5,Vienna International Airport,VIE,Vienna,AT-9,Rain,0,0,0,No Delay,SO2OCFX,0,0,Vienna International Airport,VIE,Vienna,AT,AT-9,Heavy Fog,AT,FALSE,TRUE
"Sep 17, 2023 @ 06:52:15.000","1,133.44",ES-Air,5,Treviso-Sant'Angelo Airport,TV01,Treviso,IT-34,Cloudy,"9,354.25","5,812.46",0,No Delay,O9G48IJ,9.170830291,550.25,El Dorado International Airport,BOG,Bogota,CO,CO-CUN,Sunny,IT,FALSE,FALSE
"Sep 17, 2023 @ 06:39:17.000","1,100.57",Kibana Airlines,5,Verona Villafranca Airport,VR10,Verona,IT-34,Cloudy,"7,745.60","4,812.89",75,NAS Delay,QTQY6SJ,12.00777137,720.466,Ukrainka Air Base,XHBU,Belogorsk,RU,RU-AMU,Clear,IT,TRUE,FALSE
"Sep 17, 2023 @ 06:30:31.000","1,195.87",JetBeats,5,Xi'an Xianyang International Airport,XIY,Xi'an,SE-BD,Hail,"11,065.00","6,875.47",255,Security Delay,YK6SVOY,17.42262203,"1,045.36",Rochester International Airport,RST,Rochester,US,US-MN,Thunder & Lightning,CN,TRUE,FALSE
"Sep 17, 2023 @ 06:25:33.000",396.862,ES-Air,5,San Antonio International Airport,SAT,San Antonio,US-TX,Cloudy,"1,504.83",935.06,0,No Delay,LGYTAFE,1.393363529,83.602,Quad City International Airport,MLI,Moline,US,US-IL,Sunny,US,FALSE,FALSE
"Sep 17, 2023 @ 06:16:53.000","1,029.70",Kibana Airlines,5,Venice Marco Polo Airport,VE05,Venice,IT-34,Heavy Fog,"7,523.74","4,675.04",90,NAS Delay,VLNMEZA,7.471221169,448.273,Cincinnati Northern Kentucky International Airport,CVG,Cincinnati,US,US-KY,Heavy Fog,IT,TRUE,FALSE
"Sep 17, 2023 @ 06:14:50.000","1,194.16",ES-Air,5,Rajiv Gandhi International Airport,HYD,Hyderabad,SE-BD,Sunny,"6,400.08","3,976.83",0,No Delay,FJWGONI,7.111202495,426.672,Narita International Airport,NRT,Tokyo,JP,SE-BD,Thunder & Lightning,IN,FALSE,FALSE
"Sep 17, 2023 @ 06:14:50.000",896.362,ES-Air,5,Tokyo Haneda International Airport,HND,Tokyo,SE-BD,Clear,"8,407.11","5,223.94",270,Carrier Delay,3E19GIB,13.84123838,830.474,Oslo Gardermoen Airport,OSL,Oslo,NO,NO-02,Hail,JP,TRUE,FALSE
"Sep 17, 2023 @ 06:08:47.000",628.949,Logstash Airways,5,Tucson International Airport,TUS,Tucson,US-AZ,Sunny,"9,506.81","5,907.26",285,Weather Delay,X7VTCKI,16.06763679,964.058,Tokyo Haneda International Airport,HND,Tokyo,JP,SE-BD,Damaging Wind,US,TRUE,FALSE
"Sep 17, 2023 @ 06:06:57.000",625.724,ES-Air,5,Sydney Kingsford Smith International Airport,SYD,Sydney,SE-BD,Rain,"14,599.80","9,071.89",0,No Delay,JPE3HTS,13.51833019,811.1,Olenya Air Base,XLMO,Olenegorsk,RU,RU-MUR,Heavy Fog,AU,FALSE,FALSE
"Sep 17, 2023 @ 06:00:21.000","1,083.02",Logstash Airways,5,Treviso-Sant'Angelo Airport,TV01,Treviso,IT-34,Rain,"6,356.92","3,950.01",0,No Delay,NVKGWBC,5.297435117,317.846,Montreal / Pierre Elliott Trudeau International Airport,YUL,Montreal,CA,CA-QC,Rain,IT,FALSE,FALSE
"Sep 17, 2023 @ 06:00:14.000","1,119.34",Logstash Airways,5,Ministro Pistarini International Airport,EZE,Buenos Aires,SE-BD,Cloudy,"4,358.99","2,708.55",0,No Delay,FUZQAEN,5.588444652,335.307,Mariscal Sucre International Airport,UIO,Quito,EC,EC-P,Rain,AR,FALSE,FALSE
"Sep 17, 2023 @ 05:58:48.000",509.542,Logstash Airways,5,Phoenix Sky Harbor International Airport,PHX,Phoenix,US-AZ,Thunder & Lightning,"11,978.94","7,443.37",0,No Delay,LHGMT15,9.982450606,598.947,Chengdu Shuangliu International Airport,CTU,Chengdu,CN,SE-BD,Clear,US,FALSE,FALSE
"Sep 17, 2023 @ 05:56:50.000",564.853,ES-Air,5,Leonardo da Vinci - Fiumicino Airport,FCO,Rome,SE-BD,Rain,"5,944.59","3,693.80",0,No Delay,S4KL8RK,5.504251593,330.255,Indira Gandhi International Airport,DEL,New Delhi,IN,SE-BD,Cloudy,IT,FALSE,FALSE
"Sep 17, 2023 @ 05:55:41.000",975.484,Logstash Airways,5,Ministro Pistarini International Airport,EZE,Buenos Aires,SE-BD,Heavy Fog,"11,199.48","6,959.03",45,Security Delay,DRY6NRL,17.71890483,"1,063.13",Milano Linate Airport,MI11,Milan,IT,IT-25,Cloudy,AR,TRUE,TRUE
"Sep 17, 2023 @ 05:52:00.000",598.175,Logstash Airways,5,Venice Marco Polo Airport,VE05,Venice,IT-34,Clear,"1,636.67","1,016.98",0,No Delay,82BMDTA,1.8185255,109.112,Oslo Gardermoen Airport,OSL,Oslo,NO,NO-02,Clear,IT,FALSE,FALSE
"Sep 17, 2023 @ 05:51:39.000",524.376,Kibana Airlines,5,Ministro Pistarini International Airport,EZE,Buenos Aires,SE-BD,Clear,"4,358.99","2,708.55",0,No Delay,64QCM6K,4.036098916,242.166,Mariscal Sucre International Airport,UIO,Quito,EC,EC-P,Damaging Wind,AR,FALSE,TRUE
"Sep 17, 2023 @ 05:50:17.000",675.477,Logstash Airways,5,Pisa International Airport,PI05,Pisa,IT-52,Sunny,"1,337.16",830.871,0,No Delay,1AC0ILE,1.310938341,78.656,Copenhagen Kastrup Airport,CPH,Copenhagen,DK,DK-84,Heavy Fog,IT,FALSE,TRUE
"Sep 17, 2023 @ 05:48:30.000","1,189.54",Kibana Airlines,5,Venice Marco Polo Airport,VE05,Venice,IT-34,Sunny,"1,119.55",695.658,270,NAS Delay,YGJLCI7,5.832801422,349.968,London Gatwick Airport,LGW,London,GB,GB-ENG,Rain,IT,TRUE,FALSE
"Sep 17, 2023 @ 05:48:30.000",581.915,ES-Air,5,El Dorado International Airport,BOG,Bogota,CO-CUN,Cloudy,"13,645.13","8,478.69",0,No Delay,BGTUVYD,15.1612597,909.676,Dubai International Airport,DXB,Dubai,AE,SE-BD,Clear,CO,FALSE,FALSE
"Sep 17, 2023 @ 05:48:21.000",816.03,JetBeats,5,Ukrainka Air Base,XHBU,Belogorsk,RU-AMU,Cloudy,"2,294.22","1,425.56",0,No Delay,5CDP4J8,2.124280872,127.457,Shanghai Hongqiao International Airport,SHA,Shanghai,CN,SE-BD,Cloudy,RU,FALSE,FALSE
"Sep 17, 2023 @ 05:42:11.000",519.179,ES-Air,5,London Heathrow Airport,LHR,London,GB-ENG,Rain,347.653,216.021,0,No Delay,UYV9IM4,0.289710689,17.383,Charles de Gaulle International Airport,CDG,Paris,FR,FR-J,Rain,GB,FALSE,FALSE
"Sep 17, 2023 @ 05:39:02.000",599.776,ES-Air,5,Rajiv Gandhi International Airport,HYD,Hyderabad,SE-BD,Clear,"13,301.94","8,265.44",360,Security Delay,9JNY5MM,19.04111786,"1,142.47",Chicago Rockford International Airport,RFD,Chicago/Rockford,US,US-IL,Rain,IN,TRUE,FALSE
"Sep 17, 2023 @ 05:38:34.000","1,080.67",Logstash Airways,5,Narita International Airport,NRT,Tokyo,SE-BD,Clear,"9,721.44","6,040.62",0,No Delay,8K5IALN,7.71542763,462.926,Il Caravaggio International Airport,BG01,Bergamo,IT,IT-25,Damaging Wind,JP,FALSE,TRUE
"Sep 17, 2023 @ 05:35:47.000","1,018.03",ES-Air,5,Tampa International Airport,TPA,Tampa,US-FL,Cloudy,"14,909.95","9,264.61",0,No Delay,ARMGHFT,13.07890231,784.734,Sydney Kingsford Smith International Airport,SYD,Sydney,AU,SE-BD,Sunny,US,FALSE,FALSE
"Sep 17, 2023 @ 05:35:38.000",384.205,ES-Air,5,Charlotte Douglas International Airport,CLT,Charlotte,US-NC,Sunny,878.756,546.034,150,Late Aircraft Delay,D2410N5,3.546137753,212.768,Buffalo Niagara International Airport,BUF,Buffalo,US,US-NY,Rain,US,TRUE,FALSE
"Sep 17, 2023 @ 05:34:44.000",751.3,Logstash Airways,5,Vienna International Airport,VIE,Vienna,AT-9,Rain,"8,507.33","5,286.21",0,No Delay,IYATJM9,7.877159201,472.63,Jackson-Medgar Wiley Evers International Airport,JAN,Jackson,US,US-MS,Clear,AT,FALSE,FALSE
"Sep 17, 2023 @ 05:32:05.000",580.066,JetBeats,5,Stockholm-Arlanda Airport,ARN,Stockholm,SE-AB,Clear,"7,258.17","4,510.02",0,No Delay,8FYXFGT,8.64067499,518.441,Greenville Spartanburg International Airport,GSP,Greenville,US,US-SC,Damaging Wind,SE,FALSE,FALSE
"Sep 17, 2023 @ 05:29:27.000",966.603,JetBeats,5,Olenya Air Base,XLMO,Olenegorsk,RU-MUR,Damaging Wind,"7,336.99","4,559.00",0,No Delay,V79XGVV,9.406397885,564.384,Kansas City International Airport,MCI,Kansas City,US,US-MO,Sunny,RU,FALSE,FALSE
"Sep 17, 2023 @ 05:28:56.000",909.798,Logstash Airways,5,Verona Villafranca Airport,VR10,Verona,IT-34,Thunder & Lightning,"9,133.32","5,675.18",0,No Delay,GAEOM9O,11.70938706,702.563,Jeju International Airport,CJU,Jeju City,KR,SE-BD,Damaging Wind,IT,FALSE,TRUE
"Sep 17, 2023 @ 05:27:41.000",780.912,JetBeats,5,Rajiv Gandhi International Airport,HYD,Hyderabad,SE-BD,Rain,"6,555.58","4,073.45",0,No Delay,UUGMXOF,5.750504869,345.03,New Chitose Airport,CTS,Chitose / Tomakomai,JP,SE-BD,Hail,IN,FALSE,FALSE
"Sep 17, 2023 @ 05:22:25.000",715.329,Logstash Airways,5,Zurich Airport,ZRH,Zurich,CH-ZH,Clear,"1,426.42",886.335,0,No Delay,TLU3G3Y,1.584909378,95.095,Oslo Gardermoen Airport,OSL,Oslo,NO,NO-02,Clear,CH,FALSE,FALSE
"Sep 17, 2023 @ 04:57:02.000","1,138.84",JetBeats,5,Phoenix Sky Harbor International Airport,PHX,Phoenix,US-AZ,Cloudy,"9,391.01","5,835.30",0,No Delay,XXHH1LU,8.23772378,494.263,Ministro Pistarini International Airport,EZE,Buenos Aires,AR,AR-B,Rain,US,FALSE,FALSE
"Sep 17, 2023 @ 04:54:06.000",202.068,JetBeats,5,Zurich Airport,ZRH,Zurich,CH-ZH,Sunny,0,0,0,No Delay,VRQYKXV,0,0,Zurich Airport,ZRH,Zurich,CH,CH-ZH,Cloudy,CH,FALSE,FALSE
"Sep 17, 2023 @ 04:50:49.000",592.991,JetBeats,5,Warsaw Chopin Airport,WAW,Warsaw,PL-MZ,Damaging Wind,"6,962.59","4,326.35",0,No Delay,WHXE3HG,6.107534381,366.452,Beijing Capital International Airport,PEK,Beijing,CN,SE-BD,Damaging Wind,PL,FALSE,FALSE
"Sep 17, 2023 @ 04:50:37.000",696.332,Logstash Airways,5,Shanghai Pudong International Airport,PVG,Shanghai,SE-BD,Sunny,"15,694.78","9,752.28",270,Late Aircraft Delay,A4PJNY9,19.03219914,"1,141.93",El Dorado International Airport,BOG,Bogota,CO,SE-BD,Cloudy,CN,TRUE,FALSE
"Sep 17, 2023 @ 04:50:29.000","1,109.10",Kibana Airlines,5,Sydney Kingsford Smith International Airport,SYD,Sydney,SE-BD,Heavy Fog,"7,762.57","4,823.44",0,No Delay,LER837W,6.160772581,369.646,Chubu Centrair International Airport,NGO,Tokoname,JP,SE-BD,Damaging Wind,AU,FALSE,TRUE
"Sep 17, 2023 @ 04:49:27.000",946.555,ES-Air,5,Ukrainka Air Base,XHBU,Belogorsk,RU-AMU,Damaging Wind,"9,109.70","5,660.51",0,No Delay,TUUFZ0Q,8.931080107,535.865,Tucson International Airport,TUS,Tucson,US,US-AZ,Rain,RU,FALSE,TRUE
"Sep 17, 2023 @ 04:46:41.000",694.897,Logstash Airways,5,Sydney Kingsford Smith International Airport,SYD,Sydney,SE-BD,Rain,"7,762.57","4,823.44",15,Carrier Delay,NVHDFCH,9.491158871,569.47,Chubu Centrair International Airport,NGO,Tokoname,JP,SE-BD,Rain,AU,TRUE,FALSE
"Sep 17, 2023 @ 04:46:07.000",333.035,ES-Air,5,Zurich Airport,ZRH,Zurich,CH-ZH,Hail,0,0,0,No Delay,YMBAUYO,0,0,Zurich Airport,ZRH,Zurich,CH,CH-ZH,Damaging Wind,CH,FALSE,TRUE
"Sep 17, 2023 @ 04:41:01.000",595.544,Kibana Airlines,5,Tampa International Airport,TPA,Tampa,US-FL,Cloudy,"8,005.63","4,974.47",0,No Delay,G23GL46,7.41262298,444.757,Il Caravaggio International Airport,BG01,Bergamo,IT,IT-25,Heavy Fog,US,FALSE,FALSE
"Sep 17, 2023 @ 04:30:18.000",387.604,Kibana Airlines,5,Ukrainka Air Base,XHBU,Belogorsk,RU-AMU,Clear,"5,059.28","3,143.69",0,No Delay,KVZA8SU,5.270085902,316.205,Olenya Air Base,XLMO,Olenegorsk,RU,RU-MUR,Cloudy,RU,FALSE,FALSE
"Sep 17, 2023 @ 04:30:18.000",494.549,Kibana Airlines,5,Verona Villafranca Airport,VR10,Verona,IT-34,Clear,105.82,65.754,0,No Delay,6H1B57Z,0.083984465,5.039,Treviso-Sant'Angelo Airport,TV01,Treviso,IT,IT-34,Clear,IT,FALSE,FALSE
"Sep 17, 2023 @ 04:25:56.000",556.061,JetBeats,5,Guangzhou Baiyun International Airport,CAN,Guangzhou,SE-BD,Heavy Fog,"10,386.46","6,453.85",0,No Delay,IGU61WD,11.54050736,692.43,Edmonton International Airport,CYEG,Edmonton,CA,CA-AB,Sunny,CN,FALSE,FALSE
"Sep 17, 2023 @ 04:25:44.000",749.714,JetBeats,5,Zurich Airport,ZRH,Zurich,CH-ZH,Clear,"7,109.34","4,417.54",0,No Delay,9C3OU8Q,6.58271926,394.963,Rajiv Gandhi International Airport,HYD,Hyderabad,IN,SE-BD,Rain,CH,FALSE,FALSE
"Sep 17, 2023 @ 04:22:48.000",657.573,ES-Air,5,Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,CA-MB,Clear,"7,771.10","4,828.74",0,No Delay,VQ5R91E,7.195458814,431.728,Ciampino___G. B. Pastine International Airport,RM12,Rome,IT,IT-62,Rain,CA,FALSE,FALSE
